bias_brute;rmse;bias_rel;relative_rmse;bias_out_20percent;nb_out_20percent;n;R2;val;Combination
0.002425212;4.895899045;0.616865329;1.322988475;0.545674531;1804;3306;0.622367007;CV10F;C0_C6glmnet
0.180389585;4.365891186;0.612222376;1.302218696;0.533514493;589;1104;0.638974883;Test;C0_C6glmnet
0.484826286;5.996770805;0.384417855;0.861057413;0.454545455;10;22;0.062137532;Moreira et al. (2023);C0_C6glmnet
1.845251217;3.153764076;0.504104514;0.739823031;0.728344671;3212;4410;0.805014086;Arab-Alameddine et al. (2012);C0_C6glmnet
-0.006656677;5.271239839;0.454430364;1.105729735;0.485178463;1604;3306;0.562309537;CV10F;C0_C8xgb
0.115104748;4.706463463;0.426989124;1.024415281;0.473731884;523;1104;0.580525297;Test;C0_C8xgb
4.380824344;6.743133402;1.471804119;2.476991963;0.772727273;17;22;0.079425724;Moreira et al. (2023);C0_C8xgb
6.573289132;7.899701811;1.399549782;1.776622481;0.86893424;3832;4410;0.542904308;Arab-Alameddine et al. (2012);C0_C8xgb
-0.004425573;5.348577969;0.365338336;1.023710847;0.436176649;1442;3306;0.550203009;CV10F;C0_C8rf
0.195555072;4.685905379;0.355135847;0.946657863;0.441123188;487;1104;0.587045608;Test;C0_C8rf
1.997545629;5.863353827;0.902486631;1.582468751;0.681818182;15;22;0.019040159;Moreira et al. (2023);C0_C8rf
6.358767734;7.834208829;1.369479449;1.747659504;0.857823129;3783;4410;0.497749602;Arab-Alameddine et al. (2012);C0_C8rf
-0.916395945;6.048633983;0.464848198;1.243573925;0.457955233;1514;3306;0.447920353;CV10F;C0_C8svm
-0.893792349;5.293896985;0.444955745;1.20969195;0.445652174;492;1104;0.483925846;Test;C0_C8svm
0.386106904;6.363413697;0.512585263;1.134478755;0.5;11;22;0.008689067;Moreira et al. (2023);C0_C8svm
3.248554291;5.192112752;0.686553678;0.932148704;0.791836735;3492;4410;0.686418089;Arab-Alameddine et al. (2012);C0_C8svm
0.002647846;5.877701171;0.883778631;1.863172709;0.565033273;1868;3306;0.455737866;CV10F;C0_C8glmnet
0.099928589;5.257005798;0.866056009;1.83197238;0.56884058;628;1104;0.47686198;Test;C0_C8glmnet
-0.287004196;7.411776442;0.407827657;1.231025313;0.5;11;22;0.000131289;Moreira et al. (2023);C0_C8glmnet
3.211334248;4.597139286;0.797972491;1.107664037;0.809977324;3572;4410;0.706498005;Arab-Alameddine et al. (2012);C0_C8glmnet
-0.008023499;5.455162291;0.484814058;1.184799111;0.49969752;1652;3306;0.531181309;CV10F;C0_C12xgb
0.076124341;4.765477547;0.45318222;1.092676215;0.484601449;535;1104;0.569138209;Test;C0_C12xgb
4.509346654;7.165930386;1.710508639;2.946925602;0.727272727;16;22;0.006046521;Moreira et al. (2023);C0_C12xgb
7.709258321;9.320441554;1.657380175;2.13830698;0.88276644;3893;4410;0.411991409;Arab-Alameddine et al. (2012);C0_C12xgb
-0.007855767;5.64939229;0.423422422;1.174506691;0.476104053;1574;3306;0.498883243;CV10F;C0_C12rf
0.1434847;4.872711748;0.390248107;1.044953977;0.461050725;509;1104;0.552499517;Test;C0_C12rf
7.881772847;9.707576304;2.529055022;4.114084532;0.818181818;18;22;0.015103695;Moreira et al. (2023);C0_C12rf
7.853283332;9.641323994;1.700350266;2.227577551;0.881632653;3888;4410;0.365095066;Arab-Alameddine et al. (2012);C0_C12rf
-1.38008827;6.597616158;0.502402963;1.405923261;0.447973382;1481;3306;0.349497913;CV10F;C0_C12svm
-1.474936155;5.751319366;0.468744573;1.362606202;0.421195652;465;1104;0.43269357;Test;C0_C12svm
2.875112685;9.630339972;1.212712752;2.533351422;0.454545455;10;22;0.002786605;Moreira et al. (2023);C0_C12svm
4.208546997;7.269337211;0.856707165;1.193486504;0.754421769;3327;4410;0.538414415;Arab-Alameddine et al. (2012);C0_C12svm
0.003091237;6.426974444;1.04934224;2.199290352;0.574107683;1898;3306;0.349333158;CV10F;C0_C12glmnet
-0.0667981;5.64836671;1.018206079;2.163400591;0.574275362;634;1104;0.432690558;Test;C0_C12glmnet
1.348772759;6.065145038;1.000992549;2.041466203;0.545454545;12;22;0.033757744;Moreira et al. (2023);C0_C12glmnet
4.997959049;7.368530382;1.107990234;1.497127372;0.816099773;3599;4410;0.526464917;Arab-Alameddine et al. (2012);C0_C12glmnet
-0.202148311;4.762539363;0.425128732;1.041297926;0.516333938;1707;3306;0.643649528;CV10F;C05_C1xgb
-0.272648884;4.423194801;0.407970172;1.047319356;0.499094203;551;1104;0.630386919;Test;C05_C1xgb
0.542699511;4.66619278;0.171290341;0.768886931;0.5;11;22;0.649080447;Moreira et al. (2023);C05_C1xgb
-2.062313668;4.755103902;-0.019285368;0.573827368;0.250113379;1103;4410;0.465519682;Arab-Alameddine et al. (2012);C05_C1xgb
-0.002054491;4.816003084;0.439852959;1.106345509;0.514216576;1700;3306;0.63460552;CV10F;C05_C1rf
-0.038852733;4.495790292;0.443271674;1.170418774;0.492753623;544;1104;0.616671147;Test;C05_C1rf
0.849606466;5.212309472;0.206643533;0.867566542;0.5;11;22;0.63360856;Moreira et al. (2023);C05_C1rf
-1.750081338;4.819845288;0.051339666;0.686707904;0.302494331;1334;4410;0.391592802;Arab-Alameddine et al. (2012);C05_C1rf
-0.944356597;4.978073646;0.289663561;0.87605916;0.458862674;1517;3306;0.623937537;CV10F;C05_C1svm
-0.979695999;4.696083865;0.271704399;0.853826645;0.444746377;491;1104;0.600594302;Test;C05_C1svm
-1.02766705;3.885479951;-0.147339832;0.506392578;0.272727273;6;22;0.707199103;Moreira et al. (2023);C05_C1svm
-2.985897633;5.082526724;-0.235120431;0.433547273;0.116326531;513;4410;0.559141612;Arab-Alameddine et al. (2012);C05_C1svm
