bias_brut;rmse;bias_rel;relative_rmse;biais_out_20percent;nb_out_20percent;n;R2;val;Combination
-0.177724553;1.637521771;0.006410492;0.166561789;0.082539683;364;4410;0.920295032;Arab-Alameddine et al. (2012);C4_C8_C12rf
-0.171901919;2.953911577;0.199374666;0.521661253;0.409558379;1354;3306;0.863255973;CV10F;C4_C8_C12svm
-0.0957683;2.497398365;0.202478586;0.51335819;0.405797101;448;1104;0.882353054;Test;C4_C8_C12svm
-1.06460021;4.838872732;0.189907756;0.884622026;0.318181818;7;22;0.095410643;Moreira et al. (2023);C4_C8_C12svm
0.720368856;2.684008802;0.194533105;0.374586048;0.450113379;1985;4410;0.817751911;Arab-Alameddine et al. (2012);C4_C8_C12svm
-0.00776755;2.712693728;0.094571611;0.325621856;0.325468845;1076;3306;0.884074296;CV10F;C4_C8_C12xgb
0.117465844;2.448302846;0.101538959;0.313126024;0.326086957;360;1104;0.888535257;Test;C4_C8_C12xgb
-0.643097671;3.855860029;0.105422645;0.587496984;0.363636364;8;22;0.359573981;Moreira et al. (2023);C4_C8_C12xgb
0.224926003;1.835172655;0.073068954;0.208886251;0.241269841;1064;4410;0.900646523;Arab-Alameddine et al. (2012);C4_C8_C12xgb
0.005565337;4.392773522;0.493203129;1.074776838;0.523895947;1732;3306;0.696008498;CV10F;C6_C8_C12glmnet
0.125704565;3.760876688;0.490651472;1.056946082;0.522644928;577;1104;0.732381935;Test;C6_C8_C12glmnet
-0.226415461;5.867749308;0.349792337;1.165748498;0.363636364;8;22;0.038080342;Moreira et al. (2023);C6_C8_C12glmnet
2.18919061;4.64563849;0.499624121;0.76193805;0.672789116;2967;4410;0.653136973;Arab-Alameddine et al. (2012);C6_C8_C12glmnet
0.0227332;4.169055956;0.214705933;0.600187387;0.424077435;1402;3306;0.72621751;CV10F;C6_C8_C12rf
0.241822366;3.677031377;0.213572315;0.573148973;0.413949275;457;1104;0.74905998;Test;C6_C8_C12rf
0.433494929;5.051327285;0.243996371;0.73458599;0.409090909;9;22;0.206686535;Moreira et al. (2023);C6_C8_C12rf
2.324754625;4.167245525;0.503211808;0.763515964;0.649886621;2866;4410;0.690723245;Arab-Alameddine et al. (2012);C6_C8_C12rf
-0.51030989;4.44237643;0.325079359;0.858272162;0.456745312;1510;3306;0.693196984;CV10F;C6_C8_C12svm
-0.422376237;3.749462194;0.31950069;0.834941693;0.451992754;499;1104;0.73878809;Test;C6_C8_C12svm
-0.79048067;6.123591328;0.271879178;1.219366762;0.363636364;8;22;0.020714332;Moreira et al. (2023);C6_C8_C12svm
2.112562502;5.094752063;0.449515641;0.727590284;0.632653061;2790;4410;0.619432451;Arab-Alameddine et al. (2012);C6_C8_C12svm
-0.009034121;4.124249174;0.220152553;0.62377226;0.420447671;1390;3306;0.732292467;CV10F;C6_C8_C12xgb
0.274213376;3.642518814;0.225378424;0.588647664;0.421195652;465;1104;0.757282238;Test;C6_C8_C12xgb
-0.332208503;5.604050046;0.160502653;0.876324249;0.363636364;8;22;0.112221455;Moreira et al. (2023);C6_C8_C12xgb
2.538193897;4.67578652;0.539883402;0.825958561;0.663265306;2925;4410;0.641688012;Arab-Alameddine et al. (2012);C6_C8_C12xgb
